work_id	composer_id	imslp_pageid	imslp_work_url	title	imslp_genre_categories	has_files	fetched_at
6 Airs variés, Series I, Op.89 (Dancla, Charles)	Q1064049	11342	https://imslp.org/wiki/6_Airs_vari%C3%A9s%2C_Series_I%2C_Op.89_%28Dancla%2C_Charles%29	6 Airs variés, Series I, Op.89	For 2 players|For violin, piano|Variations		2026-09-24T15:06:37.507932+00:00
6 Airs variés, Series II, Op.118 (Dancla, Charles)	Q1064049	205768	https://imslp.org/wiki/6_Airs_vari%C3%A9s%2C_Series_II%2C_Op.118_%28Dancla%2C_Charles%29	6 Airs variés, Series II, Op.118	For 2 players|For violin, piano|Variations		2026-09-24T15:06:37.507932+00:00
Album du Jeune Violiniste, Op.159 (Dancla, Charles)	Q1064049	1623962	https://imslp.org/wiki/Album_du_Jeune_Violiniste%2C_Op.159_%28Dancla%2C_Charles%29	Album du Jeune Violiniste, Op.159			2026-09-24T15:06:37.507932+00:00
Andante et petit rondeau, Op.154 (Dancla, Charles)	Q1064049	446282	https://imslp.org/wiki/Andante_et_petit_rondeau%2C_Op.154_%28Dancla%2C_Charles%29	Andante et petit rondeau, Op.154			2026-09-24T15:06:37.507932+00:00
Andante mélodique, Op.214 (Dancla, Charles)	Q1064049	401362	https://imslp.org/wiki/Andante_m%C3%A9lodique%2C_Op.214_%28Dancla%2C_Charles%29	Andante mélodique, Op.214			2026-09-24T15:06:37.507932+00:00
Andante religioso, Op.186 (Dancla, Charles)	Q1064049	858505	https://imslp.org/wiki/Andante_religioso%2C_Op.186_%28Dancla%2C_Charles%29	Andante religioso, Op.186			2026-09-24T15:06:37.507932+00:00
Andantino et polonaise brillante, Op.112 (Dancla, Charles)	Q1064049	846530	https://imslp.org/wiki/Andantino_et_polonaise_brillante%2C_Op.112_%28Dancla%2C_Charles%29	Andantino et polonaise brillante, Op.112			2026-09-24T15:06:37.507932+00:00
Ave Maria (Dancla, Charles)	Q1064049	421276	https://imslp.org/wiki/Ave_Maria_%28Dancla%2C_Charles%29	Ave Maria			2026-09-24T15:06:37.507932+00:00
Les bagneraises, Op.16 (Dancla, Charles)	Q1064049	954685	https://imslp.org/wiki/Les_bagneraises%2C_Op.16_%28Dancla%2C_Charles%29	Les bagneraises, Op.16			2026-09-24T15:06:37.507932+00:00
Le carnaval de Venise, Op.119 (Dancla, Charles)	Q1064049	429944	https://imslp.org/wiki/Le_carnaval_de_Venise%2C_Op.119_%28Dancla%2C_Charles%29	Le carnaval de Venise, Op.119			2026-09-24T15:06:37.507932+00:00
La charmille, Op.135 (Dancla, Charles)	Q1064049	96812	https://imslp.org/wiki/La_charmille%2C_Op.135_%28Dancla%2C_Charles%29	La charmille, Op.135	For 2 players|For violin, piano|Pieces		2026-09-24T15:06:37.507932+00:00
3 Concert Solos, Op.77 (Dancla, Charles)	Q1064049	97107	https://imslp.org/wiki/3_Concert_Solos%2C_Op.77_%28Dancla%2C_Charles%29	3 Concert Solos, Op.77	For 2 players|For strings with soloists (arr)|For violin, piano|For violin, strings (arr)|Pieces		2026-09-24T15:06:37.507932+00:00
3 Duos brillants, Op.64 (Dancla, Charles)	Q1064049	727680	https://imslp.org/wiki/3_Duos_brillants%2C_Op.64_%28Dancla%2C_Charles%29	3 Duos brillants, Op.64			2026-09-24T15:06:37.507932+00:00
3 Duos faciles, Op.117 (Dancla, Charles)	Q1064049	675819	https://imslp.org/wiki/3_Duos_faciles%2C_Op.117_%28Dancla%2C_Charles%29	3 Duos faciles, Op.117			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.15 (Dancla, Charles)	Q1064049	215634	https://imslp.org/wiki/3_Duos%2C_Op.15_%28Dancla%2C_Charles%29	3 Duos, Op.15	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
3 Duos, Op.23 (Dancla, Charles)	Q1064049	215637	https://imslp.org/wiki/3_Duos%2C_Op.23_%28Dancla%2C_Charles%29	3 Duos, Op.23	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
3 Duos, Op.24 (Dancla, Charles)	Q1064049	215640	https://imslp.org/wiki/3_Duos%2C_Op.24_%28Dancla%2C_Charles%29	3 Duos, Op.24			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.25 (Dancla, Charles)	Q1064049	215644	https://imslp.org/wiki/3_Duos%2C_Op.25_%28Dancla%2C_Charles%29	3 Duos, Op.25			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.32 (Dancla, Charles)	Q1064049	215650	https://imslp.org/wiki/3_Duos%2C_Op.32_%28Dancla%2C_Charles%29	3 Duos, Op.32			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.33 (Dancla, Charles)	Q1064049	215653	https://imslp.org/wiki/3_Duos%2C_Op.33_%28Dancla%2C_Charles%29	3 Duos, Op.33			2026-09-24T15:06:37.507932+00:00
3 Duos, Op.34 (Dancla, Charles)	Q1064049	215656	https://imslp.org/wiki/3_Duos%2C_Op.34_%28Dancla%2C_Charles%29	3 Duos, Op.34	Duets|For 2 players|For 2 violins		2026-09-24T15:06:37.507932+00:00
